,xdata,Q,Qm,Wstart,Ctot,P,Ep,Ea
248,248,4.71,2.8386921425747578,0.0,0.0,0.8887200000000001,3.71712,2.6320103421621814
249,249,5.91,2.9380055857327365,0.0,0.0,11.37948,3.29728,2.480137129676181
250,250,6.03,3.277242986864253,0.0,0.0,3.93162,3.76832,2.8184156885590905
251,251,8.48,3.602310926977829,0.0,0.0,17.41698,3.8297600000000003,3.13833356926273
252,252,6.82,4.081671404656443,0.0,0.0,5.17776,3.8297600000000003,3.0737236328089503
253,253,5.42,3.7564332619699456,0.0,0.0,1.4200199999999998,3.7376,2.929349199741181
254,254,4.72,3.3360406017392696,0.0,0.0,2.88834,3.56352,2.777753684486128
255,255,8.68,3.887168713368954,0.0,0.0,28.96068,3.88096,3.501919236849745
256,256,6.84,4.903731685072302,0.0,0.0,5.32266,3.8195200000000002,3.2779542954576653
257,257,6.23,4.5567855336079734,0.0,0.0,8.31726,3.7068800000000004,3.2001663321364244
258,258,7.7,4.693458794524412,0.0,0.0,16.60554,3.6454400000000002,3.2739118105326313
259,259,7.96,5.3434829513507305,0.0,0.0,16.68282,3.33824,3.048513775590535
260,260,16.2,6.375630548158863,0.0,0.0,30.44832,3.5532800000000004,3.475885348384
261,261,15.72,8.191062472941168,0.0,0.0,33.5202,3.6147199999999997,3.6518863586869967
262,262,17.15,10.18926824108848,0.0,0.0,41.90508,3.40992,3.582978034696393
263,263,25.76,11.313440318384709,0.0,0.0,21.3486,3.5532800000000004,3.543664160999162
264,264,17.81,9.704304184939343,0.0,0.0,4.27938,4.167680000000001,3.9085694502283532
265,265,11.5,7.009337657864921,0.0,0.0,0.0483,4.36224,3.945061881756793
266,266,8.48,5.016692557948099,0.0,0.0,0.5796,4.21888,3.7259120477851777
267,267,7.17,3.9237327314087738,0.0,0.0,1.16886,4.2598400000000005,3.6846739858442366
268,268,6.4,3.3197907027184512,0.0,0.0,0.4347,4.44416,3.748349146784202
269,269,5.5,2.9201758257103543,0.0,0.0,0.4347,4.6080000000000005,3.7946662324989546
270,270,4.98,2.65933839178354,0.0,0.0,0.0,4.28032,2.2952620426715744
271,271,5.01,2.4709540009116147,0.0,0.0,0.0,4.02432,3.1885024582247263
272,272,4.58,2.3699098347374643,0.0,0.0,2.77242,3.91168,3.0462631394528352
273,273,5.25,2.534930126403549,0.0,0.0,7.3705799999999995,4.00384,3.1975913642055454
274,274,4.87,2.8484351895065196,0.0,0.0,3.10086,3.9833600000000002,3.1305962323973366
275,275,4.18,2.73586832565434,0.0,0.0,0.20285999999999998,3.8912,2.978894111687223
276,276,3.84,2.468337620860996,0.0,0.0,0.0483,4.157439999999999,3.117893878959303
277,277,3.45,2.2760085179082767,0.0,0.0,0.0,3.96288,1.911508271883918
278,278,3.67,2.3548393648971278,0.0,0.0,9.73728,3.92192,3.011875375521431
279,279,3.47,2.5724751389319547,0.0,0.0,0.8017799999999999,4.02432,3.0033649332041676
280,280,5.16,3.359207584945498,0.0,0.0,37.05576,3.92192,3.630421548626635
281,281,4.45,4.5808491614706055,0.0,0.0,1.82574,3.62496,3.123073986314883
282,282,3.93,4.397822029777798,0.0,0.0,18.84666,4.05504,3.718048849851292
283,283,3.3,4.606849323446744,0.0,0.0,2.2217999999999996,4.157439999999999,3.600050089471123
284,284,3.1,3.6866993517107103,0.0,0.0,0.0,4.21888,2.329191036572706
285,285,3.14,2.987644834772841,0.0,0.0,4.84932,3.92192,3.301497338692209
286,286,3.33,2.692121701557775,0.0,0.0,1.19784,4.21888,3.4714879156171645
287,287,2.8,2.395697515920159,0.0,0.0,0.11592,3.88096,3.111186024375579
288,288,2.75,2.139835070019904,0.0,0.0,0.12558,3.87072,3.038166282855886
289,289,9.49,3.003098740326366,0.0,0.0,34.8726,3.9424,3.698693892363475
290,290,6.63,4.362924380926984,0.0,0.0,1.5456,4.05504,3.515112481101
291,291,4.22,3.561793135296191,0.0,0.0,1.4393399999999998,4.07552,3.4594299923098517
292,292,6.64,3.6174575096177577,0.0,0.0,22.42086,3.52256,3.244885092862626
293,293,4.33,4.46116555785319,0.0,0.0,7.42854,3.71712,3.2999870329378003
294,294,3.87,3.9122456800797965,0.0,0.0,0.30912,3.56352,3.043268849695095
295,295,5.77,3.247292872063963,0.0,0.0,7.03248,3.69664,3.197485858268854
296,296,4.2,3.6264425361007877,0.0,0.0,17.71644,3.44064,3.12031256613336
297,297,6.39,4.276194834653468,0.0,0.0,8.974139999999998,3.4816,3.0975460534942374
298,298,6.35,3.9630160832147414,0.0,0.0,3.08154,3.85024,3.3316892130156934
299,299,4.23,3.2028058014160297,0.0,0.0,0.0,4.126720000000001,2.250433483159912
300,300,3.51,2.514373337514838,0.0,0.0,0.0,4.32128,3.586174165464957
301,301,3.26,2.09656413121842,0.0,0.0,0.0,4.28032,3.465424474803034
302,302,2.92,1.8525331303916615,0.0,0.0,0.0,3.9424,3.1160787182306975
303,303,3.73,1.7935476639455628,0.0,0.0,5.01354,4.05504,3.19425896655249
304,304,3.16,2.2038774902036122,0.0,0.0,13.03134,3.95264,3.2792554377170715
305,305,2.9,2.596977821428576,0.0,0.0,0.1932,3.7068800000000004,2.9354749586577045
306,306,2.67,2.2383551693230292,0.0,0.0,1.98996,3.7376,2.934352479039826
307,307,2.6,1.9947687016158662,0.0,0.0,0.25116,3.6351999999999998,2.7890042090698564
308,308,2.4,1.778457068335546,0.0,0.0,0.74382,3.50208,2.646674442691512
309,309,2.27,1.6394580166261452,0.0,0.0,0.0,3.67616,1.712184471809618
310,310,2.2,1.5148847759384236,0.0,0.0,0.0,3.6454400000000002,2.6784925276787304
311,311,2.14,1.429343333107928,0.0,0.0,0.0,3.71712,2.6801510211396486
312,312,2.07,1.3691942775330523,0.0,0.0,0.0,3.8912,2.753121402415144
313,313,1.85,1.3227603670355226,0.0,0.0,0.0,3.9424,2.7355508155896553
314,314,1.94,1.28400087149594,0.0,0.0,0.0,3.9936,2.7179086012693645
315,315,1.92,1.2501911523555265,0.0,0.0,0.12558,3.54304,2.365270583007141
316,316,1.94,1.2202209811572744,0.0,0.0,0.12558,3.44064,2.2589397264328794
317,317,1.79,1.29143940346483,0.0,0.0,6.84894,3.84,2.597310236328772
318,318,1.81,1.3993998403010979,0.0,0.0,0.0,4.05504,1.8299213025153014
319,319,1.7,1.2876060630766424,0.0,0.0,0.0,3.69664,2.4145909483396917
320,320,1.56,1.2032790195893495,0.0,0.0,2.5116,3.21536,2.0732523466910378
